journal,year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,osf_exploratory,articles,rDataShared,rPreprint,rDataRequest,rCodeShared,rCodeRequest,rPreReg,rOSF
Biol Psychiatry,2006,0,0,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2007,0,0,0,0,0,0,0,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2008,0,0,0,0,0,0,0,0,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2009,1,2,0,0,0,0,0,0,113,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2010,0,0,0,0,0,0,0,0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2011,0,0,0,0,0,0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2012,0,0,0,0,0,0,0,0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2013,0,1,0,0,0,0,0,0,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2014,0,1,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2015,0,0,0,0,0,0,0,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2016,0,1,0,0,1,0,0,0,18,0.0,0.0,0.0,0.06,0.0,0.0,0.0
Biol Psychiatry,2017,0,0,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Psychiatry,2018,0,2,1,0,2,0,0,0,15,0.0,0.07,0.0,0.13,0.0,0.0,0.0
Front Hum Neurosci,2008,0,10,31,0,1,0,0,0,31,0.0,1.0,0.0,0.03,0.0,0.0,0.0
Front Hum Neurosci,2009,0,16,53,0,5,1,0,0,58,0.0,0.91,0.0,0.09,0.02,0.0,0.0
Front Hum Neurosci,2010,1,52,97,0,9,0,0,0,135,0.01,0.72,0.0,0.07,0.0,0.0,0.0
Front Hum Neurosci,2011,0,8,7,0,2,0,0,0,37,0.0,0.19,0.0,0.05,0.0,0.0,0.0
Front Hum Neurosci,2013,16,224,112,1,52,0,0,0,864,0.02,0.13,0.0,0.06,0.0,0.0,0.0
Front Hum Neurosci,2014,5,140,52,0,40,0,0,1,507,0.01,0.1,0.0,0.08,0.0,0.0,0.0
Front Hum Neurosci,2015,0,70,5,0,14,0,0,1,212,0.0,0.02,0.0,0.07,0.0,0.0,0.0
Front Hum Neurosci,2016,6,157,14,0,53,0,1,0,421,0.01,0.03,0.0,0.13,0.0,0.0,0.0
Front Hum Neurosci,2017,1,41,3,0,20,0,0,1,109,0.01,0.03,0.0,0.18,0.0,0.0,0.01
Front Hum Neurosci,2018,5,153,24,0,57,0,0,6,322,0.02,0.07,0.0,0.18,0.0,0.0,0.02
Front Psychol,2010,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Front Psychol,2012,0,4,3,0,1,0,0,0,15,0.0,0.2,0.0,0.07,0.0,0.0,0.0
Front Psychol,2013,8,221,150,0,30,0,0,0,900,0.01,0.17,0.0,0.03,0.0,0.0,0.0
Front Psychol,2014,5,159,99,0,25,0,1,0,712,0.01,0.14,0.0,0.04,0.0,0.0,0.0
Front Psychol,2015,6,119,16,0,21,0,3,6,567,0.01,0.03,0.0,0.04,0.0,0.01,0.01
Front Psychol,2016,20,283,43,0,44,0,2,8,1265,0.02,0.03,0.0,0.03,0.0,0.0,0.01
Front Psychol,2017,7,68,11,1,10,0,5,5,302,0.02,0.04,0.0,0.03,0.0,0.02,0.02
Front Psychol,2018,27,300,75,1,63,1,7,36,1348,0.02,0.06,0.0,0.05,0.0,0.01,0.03
Nat Commun,2010,7,6,1,0,1,0,0,0,53,0.13,0.02,0.0,0.02,0.0,0.0,0.0
Nat Commun,2011,1,0,1,0,0,0,0,0,15,0.07,0.07,0.0,0.0,0.0,0.0,0.0
Nat Commun,2012,6,15,4,0,1,0,0,0,75,0.08,0.05,0.0,0.01,0.0,0.0,0.0
Nat Commun,2013,103,97,33,0,31,0,0,0,636,0.16,0.05,0.0,0.05,0.0,0.0,0.0
Nat Commun,2014,97,107,19,0,25,0,0,0,478,0.2,0.04,0.0,0.05,0.0,0.0,0.0
Nat Commun,2015,153,195,63,1,64,2,0,0,1018,0.15,0.06,0.0,0.06,0.0,0.0,0.0
Nat Commun,2016,373,471,153,7,203,8,1,0,1990,0.19,0.08,0.0,0.1,0.0,0.0,0.0
Nat Commun,2017,84,84,38,4,50,1,0,1,342,0.25,0.11,0.01,0.15,0.0,0.0,0.0
Nat Commun,2018,910,838,374,36,465,16,0,21,2753,0.33,0.14,0.01,0.17,0.01,0.0,0.01
Nature,2007,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nature,2008,13,5,1,0,2,0,0,0,67,0.19,0.01,0.0,0.03,0.0,0.0,0.0
Nature,2009,17,27,2,0,2,0,0,0,180,0.09,0.01,0.0,0.01,0.0,0.0,0.0
Nature,2010,41,36,2,0,2,0,1,0,229,0.18,0.01,0.0,0.01,0.0,0.0,0.0
Nature,2011,11,2,0,0,1,0,0,0,29,0.38,0.0,0.0,0.03,0.0,0.0,0.0
Nature,2012,10,9,2,0,0,0,0,0,48,0.21,0.04,0.0,0.0,0.0,0.0,0.0
Nature,2013,62,65,8,0,19,0,0,0,287,0.22,0.03,0.0,0.07,0.0,0.0,0.0
Nature,2014,22,20,3,0,11,0,0,0,98,0.22,0.03,0.0,0.11,0.0,0.0,0.0
Nature,2015,37,46,6,1,14,3,0,0,136,0.27,0.04,0.01,0.1,0.02,0.0,0.0
Nature,2016,37,45,13,0,19,2,0,0,137,0.27,0.09,0.0,0.14,0.01,0.0,0.0
Nature,2017,48,48,4,1,20,0,0,0,96,0.5,0.04,0.01,0.21,0.0,0.0,0.0
Nature,2018,12,8,6,0,9,0,0,0,29,0.41,0.21,0.0,0.31,0.0,0.0,0.0
Sci Rep,2012,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sci Rep,2013,161,224,126,0,49,1,0,0,2256,0.07,0.06,0.0,0.02,0.0,0.0,0.0
Sci Rep,2014,109,179,110,0,54,0,0,0,1929,0.06,0.06,0.0,0.03,0.0,0.0,0.0
Sci Rep,2015,301,451,133,1,139,0,0,1,3300,0.09,0.04,0.0,0.04,0.0,0.0,0.0
Sci Rep,2016,1233,1718,509,6,546,5,1,3,11569,0.11,0.04,0.0,0.05,0.0,0.0,0.0
Sci Rep,2017,457,711,184,7,226,2,1,7,3929,0.12,0.05,0.0,0.06,0.0,0.0,0.0
Sci Rep,2018,1396,2427,781,43,918,5,7,44,10781,0.13,0.07,0.0,0.09,0.0,0.0,0.0
