journal,year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,osf_exploratory,articles,rDataShared,rPreprint,rDataRequest,rCodeShared,rCodeRequest,rPreReg,rOSF
3 Biotech,2018,5,2,0,0,1,0,0,0,70,0.07,0.0,0.0,0.01,0.0,0.0,0.0
ACS Biomater Sci Eng,2017,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACS Biomater Sci Eng,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACS Chem Biol,2017,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACS Chem Biol,2018,0,0,1,0,0,0,0,0,3,0.0,0.33,0.0,0.0,0.0,0.0,0.0
ACS Chem Neurosci,2017,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACS Synth Biol,2017,1,1,0,0,0,0,0,0,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
ACS Synth Biol,2018,1,0,0,0,1,0,0,0,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0
AIDS Behav,2017,0,0,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIMS Microbiol,2018,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJNR Am J Neuroradiol,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJNR Am J Neuroradiol,2016,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJNR Am J Neuroradiol,2017,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJNR Am J Neuroradiol,2018,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJOB Empir Bioeth,2016,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJOB Empir Bioeth,2017,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASN Neuro,2018,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acad Psychiatry,2017,0,1,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Biomater,2018,0,0,1,0,0,0,0,0,3,0.0,0.33,0.0,0.0,0.0,0.0,0.0
Acta Biomater Odontol Scand,2018,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Biotheor,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Crystallogr D Struct Biol,2018,2,0,1,0,0,0,0,0,10,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Acta Crystallogr F Struct Biol Commun,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Neurochir (Wien),2017,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Neurochir (Wien),2018,0,0,0,0,1,0,0,0,7,0.0,0.0,0.0,0.14,0.0,0.0,0.0
Acta Neurol Belg,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Neurol Scand,2017,0,1,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Neuropathol,2017,1,2,0,0,0,0,0,0,3,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Acta Neuropathol,2018,0,1,1,0,0,0,0,0,6,0.0,0.17,0.0,0.0,0.0,0.0,0.0
Acta Neuropathol Commun,2018,1,7,0,0,2,0,0,0,27,0.04,0.0,0.0,0.07,0.0,0.0,0.0
Acta Psychiatr Scand,2017,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acta Psychol (Amst),2018,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav,2015,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav,2016,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav,2017,0,0,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav,2018,0,0,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav Rep,2015,0,2,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav Rep,2016,0,2,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Behav Rep,2017,2,4,0,0,0,0,1,0,33,0.06,0.0,0.0,0.0,0.0,0.03,0.0
Addict Behav Rep,2018,0,1,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Biol,2016,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addict Biol,2017,0,3,0,0,1,0,0,0,5,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Adv Bioinformatics,2018,1,1,0,0,1,0,0,0,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Adv Biomed Res,2017,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv Biomed Res,2018,2,1,0,0,0,0,0,0,58,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Adv Biosyst,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv Cogn Psychol,2017,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv Exp Med Biol,2016,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adv Tech Biol Med,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerobiologia (Bologna),2017,1,0,0,0,0,0,0,0,3,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Aggress Behav,2017,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
